001423.72-010201.5 1.561    16228 9.18494    29823.0  DR14 -28.5618 0.0343 -31.6467  0.1431 0.1239 2.92947   0.47219  0.53172 -32.0059    31.084    0.0    4.63806  0.0     
001504.34-005439.1 0.6495   16228 5.55108    29819.9  DR7  -27.0248 0.0099 -30.95    0.0313 0.03   2.14226   0.11509  0.11983 -32.112    196.409   84.71  13.9726   9.06677 
001639.59+321321.2 1.84      2987 7.35498    13285.5  DR12 -28.5622 0.0443 -31.5879  0.1662 0.1551 2.66446   0.54296  0.62236 -31.985     18.373   11.196  4.14718  3.12889 
001939.77+213244.2 1.74728   3063 6.65441    10002.9  DR14 -27.9435 0.0144 -31.4489  0.1135 0.1039 2.35555   0.3693   0.3954  -32.1729    33.796    6.992  5.77866  2.32963 
002010.81+213252.3 2.01971   3063 0.578139    9999.71 DR14 -26.8845 0.0086 -31.4645  0.0814 0.0756 2.01878   0.20888  0.22448 -32.6144    55.72    14.91   7.42735  3.83825 
002028.96+153435.8 1.7633    1595 7.59095    19882.6  DR7  -27.3203 0.0080 -31.3138  0.066  0.0626 1.89718   0.17091  0.17617 -32.521     98.4     36.465  9.76221  5.65808 
002049.83+283810.2 2.478    15164 3.79026     8961.26 DR12 -27.8507 0.0479 -31.9409  0.3001 0.268  1.7006    0.51126  0.56517 -31.9327     8.658    4.785  2.83268  2.09534 
002113.30-020115.4 0.763     3017 4.67368     4833.6  DR12 -27.7576 0.0137 -30.6767  0.0316 0.0303 1.80403   0.12402  0.1294  -31.8985   170.658   40.836 13.0375   6.36479 
002119.48+004124.3 1.19005   5649 3.7157      2747.43 DR14 -28.3914 0.0227 -31.4029  0.1452 0.1234 2.00135   0.4541   0.48622 -31.7211    14.0      3.0    3.74166  1.73205 
002133.27+004300.9 1.245     5649 0.115767    2747.43 DR7  -26.8952 0.0095 -31.0622  0.0787 0.0712 2.15732   0.28887  0.3334  -31.6899    34.93    13.0    5.89835  3.60555 
002146.36+003900.0 0.6628    5649 5.14261     2738.13 DR7  -27.0871 0.0105 -31.1633  0.1061 0.088  2.34786   0.37892  0.52736 -31.3067    21.912    2.916  4.66234  1.66047 
002209.69+013213.0 1.88259   2098 9.73176     4798.83 DR14 -27.646  0.0102 -31.4834  0.187  0.1898 2.21305   0.59516  0.86818 -31.9016    14.04     7.695  3.5144   2.39709 
002209.95+001629.3 0.5749    2252 7.15483    71214.6  DR7  -26.8942 0.0112 -31.4321  0.0252 0.0244 2.02978   0.1056   0.10973 -32.564    246.231   85.785 15.3964   8.40323 
002230.48+012218.5 1.99547   2098 1.46146     4799.0  DR14 -27.8192 0.0127 -31.635   0.1447 0.129  2.51537   0.52742  0.61395 -32.1348    16.915    7.96   4.09227  2.80728 
002235.96+001850.0 0.522178  2252 1.91024    71214.6  DR14 -28.1032 0.0311 -31.4399  0.0229 0.0223 2.22582   0.09985  0.10164 -32.8494   291.708   79.6   17.0624   8.87738 
002245.15+001822.5 1.75375   2252 3.71879    71214.6  DR14 -28.1762 0.0169 -32.1687  0.0881 0.0801 1.90787   0.22904  0.24154 -32.9972    55.632   20.944  7.28178  4.36182 
002249.39+002015.6 2.68191   2252 4.04318    71214.6  DR14 -28.4378 0.0863 -32.3344  0.156  0.1521 2.03174   0.33884  0.42754 -33.2512    33.95    14.415  5.65441  3.65142 
002318.83-010301.0 1.058     4079 1.69241     1938.45 DR12 -27.8988 0.0121 -31.1709  0.0983 0.084  2.21968   0.42838  0.42908 -31.6312    23.0      5.874  4.79583  2.37326 
002331.97+042343.5 2.367     7914 4.80633    49386.3  DR12 -28.1321 0.0304 -32.2384  0.2374 0.1755 2.37732   0.52073  0.71299 -32.7784    17.118    7.488  3.93939  2.30953 
